episode,ep_reward_z1,ep_reward_z2,ep_reward_z3,ep_total_reward,ep_fuel_usd,ep_co2_tons,ep_imbalance_sum_mw,eps_z1
26,-1986155.7605662504,-493314.1300176605,-1838508.781059026,-4317978.671642937,3651927.494339579,54375.624443095454,12501.700076876577,0.049911691230058335
27,-2012429.5905785505,-613850.2835001284,-1552499.4465855544,-4178779.3206642335,3450154.1368057067,53937.60951667794,12942.07940749838,0.049911691230058335
28,-1710480.359577525,-621368.9977977927,-1788228.8014233753,-4120078.1587986927,3327286.7938524075,51733.61439225013,15725.674536654324,0.049911691230058335
29,-1699879.6473150698,-720467.6861310242,-1690536.0358104522,-4110883.369256546,3314387.422967724,52653.970549615755,14937.864138797906,0.049911691230058335
30,-1656197.5704019885,-726686.389192523,-1739969.1031815428,-4122853.0627760543,3315088.852535085,53050.11455624368,14983.7648272427,0.049911691230058335
31,-1551316.852173377,-475179.367722956,-2357823.9279180993,-4384320.147814432,3720948.065914217,56057.01243104831,11673.422822758273,0.049911691230058335
32,-1547611.2144975732,-631701.1641095392,-1953214.011993744,-4132526.3906008564,3341610.574212804,56942.853712813536,11378.540632504944,0.049911691230058335
33,-1934932.369821335,-515536.6098797385,-1584705.3848214373,-4035174.3645225107,3106980.216087159,50666.94776919798,18942.701504898385,0.049911691230058335
34,-1970355.2932407486,-435425.4389358534,-1639207.6917456118,-4044988.4239222137,3227914.7447816106,51897.930930401606,15401.695461661515,0.049911691230058335
35,-2307795.9606851744,-548964.614595876,-1370885.4047385298,-4227645.980019581,3523377.7325149677,54433.75251390449,12440.695938484612,0.049911691230058335
36,-2167671.056412109,-417735.15968940326,-1524268.0564723078,-4109674.2725738203,3299041.596306273,56575.50057935489,11922.329679529314,0.049911691230058335
37,-2054993.090992338,-441943.76472088054,-1697547.7731824152,-4194484.628895634,3388994.3406318976,51891.91623843981,16631.490879103007,0.049911691230058335
38,-2154275.11410765,-369065.7994814307,-1560262.154260035,-4083603.0678491155,3233214.946484584,59444.46929037654,10150.621280176874,0.049911691230058335
39,-2018420.3254083248,-383049.8954009658,-1860673.231427693,-4262143.452236984,3499684.5422846917,59782.79481571102,9596.766827902295,0.049911691230058335
40,-1969013.9040754368,-386110.3910413049,-1949482.698729032,-4304606.993845774,3600817.0850094534,59216.66955170397,9133.665359023522,0.049911691230058335
41,-1900618.5808630595,-357292.45267936954,-2132065.601363327,-4389976.6349057555,3705649.34637136,61498.29948564365,7593.848518729684,0.049911691230058335
42,-1796034.9319276353,-523092.91799051705,-1876918.0446319547,-4196045.894550107,3440275.230494973,57911.338774250835,10370.469815341014,0.049911691230058335
43,-2000753.846827507,-478845.233440775,-1706455.1259473807,-4186054.206215663,3424533.263584683,53191.17176582091,14416.868055931714,0.049911691230058335
44,-1901422.1195653868,-644941.794809812,-1728565.2364669654,-4274929.150842165,3539290.2575931917,54140.94444067618,13894.396242989607,0.049911691230058335
45,-1944708.649639524,-484038.13174223783,-1844749.4033880949,-4273496.184769857,3540533.875118391,53727.4370892919,14169.09421366801,0.049911691230058335
46,-1604882.48017091,-484179.57877194346,-2066545.7611542498,-4155607.8200971032,3348361.325863649,54459.633272479994,14101.141451476962,0.049911691230058335
47,-1583273.2718780783,-583207.5825211873,-2134477.206436422,-4300958.060835687,3448514.550868258,57983.326406753935,13614.101728522726,0.049911691230058335
48,-1422411.7510915478,-307236.45547739964,-2485332.790319943,-4214980.996888891,3489982.661415208,58657.203613180776,9207.814725404469,0.049911691230058335
49,-1482216.9976529148,-387938.00349129824,-2563020.137875684,-4433175.139019897,3721303.369952131,59880.0273626755,10044.069410172699,0.049911691230058335
50,-1453768.4383688234,-529811.5331750596,-2473612.2170391693,-4457192.188583052,3792345.2993403273,59000.43903137823,9934.642791489296,0.049911691230058335
51,-1836643.1414437518,-358396.1168051671,-1965030.2885361356,-4160069.5467850543,3417229.1132018785,66834.16652189137,2124.5973745169904,0.049911691230058335
52,-1596505.4642499632,-444517.8445368172,-2112871.804868978,-4153895.113655758,3427333.527165499,64615.41976145074,3568.9480240971557,0.049911691230058335
53,-1808208.7795226686,-355080.16042951215,-1957898.1212062882,-4121187.061158469,3332199.4322157493,61276.28774008833,7536.737374506392,0.049911691230058335
54,-1611092.2806077255,-657552.5097309041,-1874607.6094928044,-4143252.3998314342,3325547.9162570774,61275.84228023602,8427.829343515392,0.049911691230058335
55,-1716401.4325310385,-812300.3427832833,-1680352.101430764,-4209053.876745086,3434588.549159359,63885.80564317904,5858.461614415661,0.049911691230058335
56,-1361707.3559722772,-1191024.7907380215,-1625949.2148834658,-4178681.3615937647,3488518.8099104455,66524.93247586131,1344.413884066319,0.049911691230058335
57,-1512057.9100033548,-1171526.5785118248,-1478565.6740971108,-4162150.16261229,3511452.546029912,65240.19470124614,1350.280516985843,0.049911691230058335
58,-1631367.5276801973,-634660.8033008046,-1857328.4431725617,-4123356.774153563,3442479.774300108,63504.56787214111,3141.8150467963264,0.049911691230058335
59,-1686242.421211139,-630389.4244524569,-1976020.8344190714,-4292652.680082668,3702899.1253640153,61987.38934230712,3998.1621366341637,0.049911691230058335
60,-1547225.703081111,-748844.92230978,-1875331.2201178926,-4171401.8455087836,3484770.8124540467,60866.59602736679,5998.802603103248,0.049911691230058335
61,-1863696.1622811153,-593785.680995011,-1623391.4626784662,-4080873.3059545923,3341182.5738738882,64260.72396317308,3446.568106065257,0.049911691230058335
62,-2016157.828680159,-595088.1203904273,-1566475.4638452614,-4177721.4129158477,3475055.906714358,65790.53371228336,2250.788951752396,0.049911691230058335
63,-1928112.050503057,-681852.1885045206,-1562859.7639238734,-4172824.0029314505,3397286.1625544066,67398.09076707209,2535.745819434288,0.049911691230058335
64,-1743321.2833923316,-649008.4605766332,-1713473.6702760963,-4105803.4142450606,3388019.3737002667,60435.505601821635,6436.148660280744,0.049911691230058335
65,-1934828.4967377216,-758868.7421323298,-1506159.4740762052,-4199856.712946257,3537450.572662772,61361.1366897423,5297.74421646291,0.049911691230058335
66,-1931629.8169077216,-643188.299488352,-1526159.7534979961,-4100977.8698940696,3277928.148410279,62943.47081999674,6712.32200323191,0.049911691230058335
67,-2065949.7565474506,-653987.3472829283,-1486993.5486313757,-4206930.652461754,3407080.021227865,64754.810661869895,5690.8988574855375,0.049911691230058335
68,-1731997.669944841,-733720.8034247991,-1666900.243430743,-4132618.7168003833,3389543.734932238,61511.34236431421,6379.962401926832,0.049911691230058335
69,-2289751.1432379666,-525347.2823655854,-1541208.083171386,-4356306.508774938,3820461.175553403,63507.16621026839,2085.0315841904307,0.049911691230058335
70,-2068583.9860927705,-614852.895073575,-1562495.0666830929,-4245931.9478494385,3602658.6726026786,62282.90542316843,4528.559624558958,0.049911691230058335
71,-2180197.1613117475,-565432.9478387896,-1622584.5909073602,-4368214.700057898,3795678.0862461873,63574.7005608153,3002.839179492549,0.049911691230058335
72,-2109801.7076325417,-580543.4358197752,-1639568.340268129,-4329913.483720446,3692260.08616649,63156.13647563325,4494.9981091752015,0.049911691230058335
73,-2049895.8332567397,-584621.721720478,-2106723.834646366,-4741241.389623584,4342879.886115875,61532.52967981584,4404.865416905564,0.049911691230058335
74,-2006579.0324435523,-562219.3573186334,-1990695.3194175754,-4559493.709179761,4053814.972720328,64674.11640307095,2421.1086665740713,0.049911691230058335
75,-1525163.1748180343,-577934.8156313706,-2323608.50441297,-4426706.494862375,3892763.545295892,63283.662700642235,2934.620476295788,0.049911691230058335
76,-1802438.5551384373,-687074.5799255857,-1680625.6353533426,-4170138.7704173657,3543757.464244444,59622.9103764085,5637.477694927937,0.049911691230058335
77,-1734989.2151752275,-758899.2436351039,-1680880.7625214718,-4174769.221331803,3548841.610970402,59905.31601213035,5433.151178106591,0.049911691230058335
78,-1654784.2190828794,-770690.3781299086,-1757764.6316505494,-4183239.228863337,3543873.485658011,59693.14764151118,6011.750801473126,0.049911691230058335
79,-1386444.6593464129,-1255168.1359506126,-1643700.423478137,-4285313.2187751625,3680389.3436015463,64410.555208418315,2219.050681313777,0.049911691230058335
80,-1542016.3150884197,-1011620.4739658567,-1734178.8526179362,-4287815.641672213,3685284.414968904,62399.99620425417,3897.221599516622,0.049911691230058335
81,-1757231.3486138543,-1086544.6685280602,-1511014.7641957414,-4354790.781337656,3802229.1342925155,57954.08571581046,7180.040052657626,0.049911691230058335
82,-1544773.2372744703,-1427438.7701850298,-1491189.8758604638,-4463401.883319964,3944004.46092467,63301.630738048196,2946.90589508221,0.049911691230058335
83,-1434845.3713623225,-1632549.858755635,-1375032.9181608423,-4442428.1482788,3918544.3695625686,63884.67252253997,2346.264675341074,0.049911691230058335
84,-1489098.1263608653,-1473470.5218153545,-1486664.3009361108,-4449232.949112331,3942310.0420617866,63842.03936131382,2054.797198519246,0.049911691230058335
85,-1699968.893935374,-1212212.5890594486,-1346826.3799132484,-4259007.862908071,3772602.12553899,61967.58763777978,1267.0963422464465,0.049911691230058335
86,-1518454.3191964028,-1206099.415512442,-1504174.2498484955,-4228727.98455734,3581052.801485164,67484.9571489861,37.48720728603166,0.049911691230058335
87,-1643842.7719429696,-1271892.7054877966,-1364056.7391345943,-4279792.216565361,3612076.178785454,68679.95652609973,1.0913936421275139e-11,0.049911691230058335
88,-1414969.8626397818,-1295946.0062112326,-1710137.970330237,-4421053.839181252,3837960.2102340306,67885.46461021244,113.4114819003994,0.049911691230058335
89,-1482020.5439966428,-1479542.8719400244,-1343764.5643424103,-4305327.980279078,3667840.4517698223,67794.26881003674,302.8603128088407,0.049911691230058335
90,-1765922.676834352,-1054464.698185235,-1504731.5547576745,-4325118.929777262,3773613.8279091055,63451.77434737957,2185.6334794236395,0.049911691230058335
91,-1716629.3804455043,-994966.4205229455,-1714337.3571770159,-4425933.158145465,3956395.1195545522,63499.95074520671,1240.261015150294,0.049911691230058335
92,-1922927.8208015133,-1150589.9356929115,-1136588.8700072945,-4210106.6265017195,3536478.2722717393,62297.54478792584,4866.148127313112,0.049911691230058335
93,-1759235.2737199108,-1151124.9474014752,-1222867.3933648942,-4133227.61448628,3446952.1726212287,63699.3592192654,3200.9144520050936,0.049911691230058335
94,-2067999.662492871,-1075371.6505292763,-1055647.631768329,-4199018.944790477,3539707.8807127397,64588.85442951697,2473.588011295861,0.049911691230058335
95,-2169289.9273438687,-987286.0112588599,-1125756.2807252067,-4282332.219327936,3698821.89543778,65191.212463353695,1026.0324901989952,0.049911691230058335
96,-2098031.1204988835,-999129.4410483104,-1214415.3349397965,-4311575.89648699,3699698.8064001496,67175.76373766347,293.49188988227525,0.049911691230058335
97,-1916664.1765059992,-1107360.9307677224,-1277730.2328058789,-4301755.3400796,3713132.793298522,66767.15234394647,9.549694368615746e-12,0.049911691230058335
98,-1769068.9302890315,-1147796.0411162716,-1323401.1784196745,-4240266.149824978,3553897.928867951,68726.96469087887,8.185452315956354e-12,0.049911691230058335
99,-1839581.2059266919,-1335497.1986347807,-1115292.240549579,-4290370.645111051,3625637.051266359,68562.4809093876,136.0482011738809,0.049911691230058335
100,-1769832.1199932925,-1047070.1511944898,-1476563.3215896576,-4293465.59277744,3657071.594215223,66262.46715730199,1460.7521438527779,0.049911691230058335
101,-1787432.882719827,-762571.7268760048,-1797749.6604401404,-4347754.270035972,3781325.262436662,65574.98138210588,955.4853695536403,0.049911691230058335
102,-1735702.9085358542,-789190.8016167787,-1680865.510856169,-4205759.221008802,3587940.452986435,66316.55075756172,104.29532001577127,0.049911691230058335
103,-1901200.0981000834,-868253.3775960355,-1462491.975403727,-4231945.4510998465,3586432.5099894186,65905.00207533961,1362.1713728697978,0.049911691230058335
104,-1991181.0654152185,-821123.8429898863,-1579462.8543941588,-4391767.762799263,3830182.3397465083,65752.87256264064,1131.395820979034,0.049911691230058335
105,-1922728.9617775471,-855811.7624714167,-1418208.3488573222,-4196749.073106286,3560779.1475004246,64981.34493958637,1572.6457965511963,0.049911691230058335
106,-1780397.7249857704,-768815.3084189277,-1920201.8211856864,-4469414.854590384,3945682.3725252473,66811.35610628869,124.92043707829907,0.049911691230058335
107,-1645026.3052865965,-845202.0843084317,-1906801.6426563004,-4397030.032251328,3844752.8412813246,66856.74992821818,28.530672827908347,0.049911691230058335
108,-1637171.0718728725,-1107691.7624217088,-1438888.0175612792,-4183750.8518558606,3471993.618738197,68538.74915631065,187.24050844006752,0.049911691230058335
109,-1534725.3473133063,-987438.212864696,-1809147.8988614404,-4331311.459039442,3696683.325257039,67453.78478700273,785.3873096982002,0.049911691230058335
110,-1427701.4023649879,-925130.0118203851,-2005048.230869037,-4357879.64505441,3758470.4610713148,66328.29493956157,1185.9600448556707,0.049911691230058335
111,-1237898.6943259307,-975625.350092461,-2235727.4334826726,-4449251.477901064,3897719.2574117943,64597.86713617823,2453.412858008771,0.049911691230058335
112,-1521716.2346136565,-1089295.7507046105,-1740963.2407635797,-4351975.226081846,3721794.4475131724,59920.63293943694,7291.432428899476,0.049911691230058335
113,-1260837.6813844892,-1275367.489103455,-1798712.8479459113,-4334918.018433856,3754179.5557030654,63639.32096936369,2806.3214907645424,0.049911691230058335
114,-1244286.6981381765,-1142304.1678073693,-2020417.2987277887,-4407008.164673335,3811724.7596878028,67692.37189088983,421.51165580605675,0.049911691230058335
115,-1639790.547489345,-1154167.001807927,-1323440.6946048029,-4117398.243902075,3408892.9475652114,63094.22464913962,4075.681735112222,0.049911691230058335
116,-1541761.1228239445,-1393385.6934636359,-1232687.6748419043,-4167834.491129485,3488269.731643002,64354.54797854758,2833.490184213967,0.049911691230058335
117,-1725438.8538801095,-1316725.0038228624,-1149117.7484288383,-4191281.60613181,3545716.624116566,66262.91516283755,652.5210865952208,0.049911691230058335
118,-1337141.2226320372,-1413207.5833963654,-1423133.1952774576,-4173482.00130586,3445906.0372481346,60920.00912412397,6929.584752233477,0.049911691230058335
119,-1575514.9431147778,-1233121.3750196327,-1325281.8072817007,-4133918.125416111,3393265.3463841984,63359.48322443635,4765.518690801522,0.049911691230058335
120,-1946949.6166056881,-1064280.7802094312,-1292517.415097785,-4303747.8119129045,3751069.2173895305,65356.149129066864,380.585231634273,0.049911691230058335
121,-1773614.9507138776,-1203248.36050769,-1204729.6797937844,-4181592.9910153523,3456803.95964646,63340.6959461987,4888.082421158768,0.049911691230058335
122,-1526329.6965557574,-1305614.000135867,-1258375.054320555,-4090318.751012179,3263950.1958987582,61468.81336461561,7936.629102845037,0.049911691230058335
123,-1170395.1729282402,-1386500.6354910021,-1617426.0056841886,-4174321.814103431,3477538.8726836806,66184.73145548785,1744.4650369971205,0.049911691230058335
124,-1256183.9198885304,-1514341.6839001123,-1365137.9272371815,-4135663.531025824,3389945.8057418405,63860.37775501356,4475.394475123007,0.049911691230058335
125,-1319779.2045897006,-1529168.8056528426,-1349263.2667463117,-4198211.276988855,3443127.2352704518,63307.62128042161,5789.262321626273,0.049911691230058335
126,-1200404.3944136696,-1056562.7332554776,-1833009.695464238,-4089976.8231333853,3296253.9171696454,62661.31323699274,6157.853119043934,0.049911691230058335
127,-1158249.050293547,-1007076.213630618,-2026844.7996130022,-4192170.0635371674,3489338.1015198263,63949.49092489961,3964.045796278283,0.049911691230058335
128,-1400948.4844170138,-949983.635449239,-2069331.560093752,-4420263.679960005,3867215.80708147,66241.4470552956,801.8571697646253,0.049911691230058335
129,-1654276.8640436227,-978833.5868373102,-1508666.6303658052,-4141777.0812467383,3488236.3431158382,64760.77262945964,1620.3979671476995,0.049911691230058335
130,-1900198.7756954967,-914860.4813407765,-1367742.932989952,-4182802.1900262255,3549529.5322815706,66156.53740663525,371.32711866423006,0.049911691230058335
131,-1877262.2861028633,-867014.217526085,-1442164.1743430716,-4186440.6779720197,3563661.485427754,66100.80425003577,210.23765988931336,0.049911691230058335
132,-2038704.7339831602,-839072.4664349544,-1455640.2204169969,-4333417.420835111,3753411.840477829,66741.74745948872,137.1524094556312,0.049911691230058335
133,-1596336.7876067043,-865113.6962818436,-1694185.6914460072,-4155636.175334555,3611123.9970148085,63835.461526677434,1.503616463828621,0.049911691230058335
134,-1825536.7204473394,-865488.31026498,-1554868.669494036,-4245893.700206355,3675768.541502815,65538.42998670094,54.191883117040106,0.049911691230058335
135,-1551418.2314899592,-1019923.5290010794,-1626389.4841610317,-4197731.24465207,3568013.8609883036,66671.4330180493,1.5006662579253316e-11,0.049911691230058335
136,-1850634.8703594701,-987490.2862581399,-1375104.449808089,-4213229.606425699,3690339.0747724464,63752.87881093291,143.12814687327545,0.049911691230058335
137,-1711434.7364614108,-1298187.5407327677,-1227733.5604850438,-4237355.837679222,3604869.3308386705,67113.62455176773,84.9960007358668,0.049911691230058335
138,-1702859.9581169824,-1097165.2433988226,-1635303.980445913,-4435329.181961718,3922744.560026365,64059.43385083957,1863.0808915618013,0.049911691230058335
139,-1283419.6166074008,-1139783.092877586,-1875660.056169478,-4298862.765654465,3736391.089332162,64975.2656228437,883.990991314512,0.049911691230058335
140,-1246490.0979003466,-969099.4299094263,-1945983.6500939857,-4161573.1779037584,3560161.529083887,64994.228794798866,403.5757759222188,0.049911691230058335
141,-1279858.6906367356,-995367.5002920587,-1931878.5146317566,-4207104.705560551,3601377.4682958233,65956.82534373498,141.38104960777082,0.049911691230058335
142,-1300369.4290982985,-946839.6701077942,-2121104.106405029,-4368313.205611122,3854154.2697425806,64929.23274399981,490.3260606440226,0.049911691230058335
143,-1766521.7915679624,-1155343.6477157776,-1197120.822398155,-4118986.261681895,3467649.5922577805,61551.72034285775,4068.7559452858904,0.049911691230058335
144,-1829117.9011657648,-1215203.06960562,-1077396.425335991,-4121717.3961073756,3486989.457949553,62599.531116213264,2817.8910693083662,0.049911691230058335
145,-1812761.2890670234,-985623.5620759202,-1310364.2150188733,-4108749.066161817,3401191.818204107,63026.80662933992,4024.3741456924568,0.049911691230058335
146,-1868290.397995122,-986783.0945597905,-1268976.6704416021,-4124050.1629965147,3400955.1870568213,61485.451730598055,5850.083764216313,0.049911691230058335
147,-2024554.2995405074,-916108.0112548061,-1165532.7082914715,-4106195.019086785,3388338.4800280854,63262.081773704194,4039.1665945889376,0.049911691230058335
148,-2113786.623865058,-915782.6984086313,-1214665.212730032,-4244234.535003722,3593996.9735810296,61314.64691984837,5497.105234695608,0.049911691230058335
149,-2086926.8625469233,-970514.9666779483,-1167182.691974708,-4224624.521199579,3535441.6002211394,62890.0237362342,4870.6598590270405,0.049911691230058335
150,-1586254.4819545408,-1162994.0845667024,-1341815.467796485,-4091064.034317728,3265097.0422847783,60993.4518728495,8338.769398690729,0.049911691230058335
151,-1484118.8501452848,-1461123.3558364497,-1231374.8401766166,-4176617.046158351,3431703.3441823456,62492.60518284274,6028.775768940617,0.049911691230058335
152,-1301413.5766491208,-1591804.5848831653,-1337247.820975758,-4230465.982508044,3533855.862270573,66761.39207023982,1811.712704250906,0.049911691230058335
153,-1367380.2299424792,-1434966.416398591,-1408498.9487719408,-4210845.595113011,3444901.089404087,65502.49377327963,4303.374710384024,0.049911691230058335
154,-1207975.9534579725,-1461420.4419310265,-1784730.5358366664,-4454126.931225665,3862804.6056320798,66845.25996125165,1520.3192757097504,0.049911691230058335
155,-1066762.63197259,-1378485.0252079002,-1848417.08706829,-4293664.7442487795,3624772.4833434643,68565.82741065277,263.18023122362047,0.049911691230058335
156,-1287674.8901763062,-1251169.0163314028,-1933498.8906185122,-4472342.7971262215,3947703.198214339,66377.33972015057,544.2798504114817,0.049911691230058335
157,-1504607.0186600976,-1217331.2246562426,-1436750.939972063,-4158689.1832884033,3440369.0712389452,66655.24989905316,1690.7320331761725,0.049911691230058335
158,-1416170.3422911165,-1361998.1605672352,-1572581.198148029,-4350749.701006381,3755168.5028037955,66917.91008073426,524.1680661666719,0.049911691230058335
159,-1286955.4635419173,-893994.1799939902,-2073758.9030453502,-4254708.546581257,3642495.7810759842,61474.67054087805,4578.580034522619,0.049911691230058335
160,-1170570.0165742561,-866355.9047293476,-2127247.5758967916,-4164173.4972003954,3518560.330523424,63033.99639597902,3127.145257884448,0.049911691230058335
161,-1245168.0866732213,-934505.0904316548,-2073559.772565178,-4253232.949670054,3597255.2138316897,61668.46888038062,5420.278117938866,0.049911691230058335
162,-1395119.5124100014,-862362.6409830942,-2147820.0404381114,-4405302.193831207,3869615.4472241225,60649.4316298956,5000.362473732809,0.049911691230058335
163,-1564956.0391974263,-866991.0097501109,-1711961.0431436286,-4143908.092091166,3508493.4320228924,62581.47264401202,3071.1712417611484,0.049911691230058335
164,-1393534.2777358217,-852506.5572276728,-1942756.9205705158,-4188797.75553401,3505830.7002927545,63380.494075085415,3950.455547146819,0.049911691230058335
165,-1247101.1726504571,-1113111.7936667106,-1685316.208906928,-4045529.1752240956,3216357.99687584,57302.6522325141,11095.364849396628,0.049911691230058335
166,-1127320.9562383885,-978146.8185776342,-2023951.571468055,-4129419.3462840775,3416681.1616552873,60106.07356101697,6834.588577314819,0.049911691230058335
167,-1092963.4677890036,-971786.6782762228,-2340996.5582938227,-4405746.704359049,3825236.222570104,61640.93326270736,5207.918345364605,0.049911691230058335
168,-1024339.9148129236,-998550.2745964917,-2273918.764413858,-4296808.953823273,3689346.98601716,59147.226838976545,6867.059307245307,0.049911691230058335
169,-1530694.6844517062,-803749.5887841986,-1858933.473124847,-4193377.746360752,3531820.7922924957,66079.36904724203,1202.6427017110777,0.049911691230058335
170,-1827334.3378983275,-776384.0233807506,-1614448.9701703752,-4218167.331449453,3629354.2699384014,63149.53493863492,2243.5400519127247,0.049911691230058335
171,-1746887.4536922658,-1092444.3563388865,-1328370.6079461712,-4167702.4179773238,3489832.960298866,55553.069716127495,10273.868933562204,0.049911691230058335
172,-1955157.5577663602,-1101160.049624925,-1104067.6228972632,-4160385.2302885484,3521399.291727091,59375.08033592416,6044.7059171173005,0.049911691230058335
173,-1982714.8253863016,-972076.6260080601,-1205029.8440832943,-4159821.2954776557,3520049.0017145434,57448.43703640942,7695.0616616345005,0.049911691230058335
174,-1757942.7365459544,-1156603.977410279,-1361808.9144641643,-4276355.628420398,3582054.8773769694,55001.93538082963,12212.262068178792,0.049911691230058335
175,-2060415.3112481297,-1005989.4032998972,-1228031.9312278891,-4294436.645775916,3687282.844630439,58977.88478795834,6980.086414722384,0.049911691230058335
176,-2065656.738523266,-1077796.6971075782,-1012605.8700831481,-4156059.305713992,3473051.795032886,57491.17906315056,8629.932769354435,0.049911691230058335
177,-2070411.5673650682,-1103230.6176379265,-1001080.5952522855,-4174722.7802552804,3500383.0214640615,60673.472581769696,5909.370479843652,0.049911691230058335
178,-1912875.6630172548,-1139819.7988227813,-1321816.1917650742,-4374511.653605111,3742116.2061884804,55220.58758779385,11563.510859481046,0.049911691230058335
179,-2040890.9976600274,-1253359.559388568,-957165.149808896,-4251415.706857491,3623431.6699298574,66008.51052829286,1059.8839811707771,0.049911691230058335
180,-1750016.849012715,-1513830.7435461564,-1026409.3114954415,-4290256.904054313,3746193.961596789,62514.414146825795,2460.119006416762,0.049911691230058335
181,-1700874.1971950945,-1439641.654730545,-1211027.3268958179,-4351543.178821458,3706181.4826566484,59163.361356908106,8285.014212021557,0.049911691230058335
182,-1760387.815788075,-1502843.3026413557,-1057208.7692248751,-4320439.887654306,3716191.4885020377,60188.53991759085,6143.269260143781,0.049911691230058335
183,-1697503.8086065298,-1447410.732927792,-1209777.86905141,-4354692.410585731,3799252.6690827534,59623.915890057535,5826.856234377914,0.049911691230058335
184,-1752664.1018815236,-1321106.7284361208,-1441131.7863450882,-4514902.616662732,4090798.3026920003,58837.24277335388,5033.137135260327,0.049911691230058335
185,-1408787.0243826814,-1077764.1471954498,-1825806.1991665054,-4312357.370744636,3731297.176848286,55850.14174923369,9209.024411512562,0.049911691230058335
186,-1322245.9678701828,-992882.661591065,-2051604.5129579285,-4366733.142419176,3801864.2583590904,59787.80267620621,6027.973110818453,0.049911691230058335
