omega,day_fuel_usd,day_co2_tons,day_social_usd,day_pv_curtailment_mwh,day_wind_curtailment_mwh,pi_eff
0.0,4269099.365657564,60055.15613096055,9373787.63678921,0.0,4.574118861455645e-12,850.0
0.5,3397510.271743742,64745.094698942106,8900843.32115382,0.0,2.3288038164537284e-12,85.0
1.0,3073325.287380285,72386.31517087252,9226162.07690445,0.0,1.9451107391432743e-12,0.0
